Bank,Total_Assets,Equity,Total_Liabilities,HQLA,Net_Outflows_30d,Est_CDS_Spread,Stock_Volatility,Interbank_Assets,Interbank_Liabilities,LR,LCR
JPM,4002.81,344.76,3658.06,866.01,731.66,134.66,0.26,480.3372,480.3372,11.61042464,1.183623541
BAC,3261.52,295.56,2965.96,642.92,582.24,225.45,0.28,379.3220166,379.3220166,11.0350521,1.104218192
C,2352.95,208.6,2143.58,498.02,408.14,347.94,0.32,259.781557,259.781557,11.27972196,1.220218552
WFC,1929.84,179.12,1748.78,363.46,326.7,203.96,0.29,206.1601757,206.1601757,10.77400625,1.112519131
GS,1675.97,122,1553.98,218.55,286.35,208.2,0.32,174.7718165,174.7718165,13.73745902,0.76322682
MS,1215.07,104.51,1109.64,100.08,198.02,151.52,0.31,119.6535189,119.6535189,11.62635155,0.505403495
USB,678.32,58.58,619.28,142.87,103.98,200.71,0.27,59.65789448,59.65789448,11.57937863,1.374014234
PNC,560.04,54.42,505.57,55.64,83.14,156.68,0.25,47.31772127,47.31772127,10.29106946,0.66923262
TFC,531.18,63.68,467.5,44.32,76.43,213.12,0.28,44.37193035,44.37193035,8.341394472,0.579877012
COF,490.14,60.78,429.36,47.08,69.57,153.59,0.38,40.23207228,40.23207228,8.064165844,0.676728475
SCHW,479.84,48.38,431.47,124.7,69.75,80.22,0.25,39.20261774,39.20261774,9.918147995,1.78781362
BK,416.06,41.32,374.3,148.41,59.54,122.74,0.23,32.92043598,32.92043598,10.06921588,2.49261001
STT,353.24,25.33,327.91,134.55,51.19,283.49,0.29,26.90591333,26.90591333,13.94551915,2.628443055
AXP,271.46,30.26,241.2,41.5,36.5,62.57,0.32,19.38614825,19.38614825,8.970918705,1.136986301
CFG,217.52,24.25,193.27,43.85,28.48,248.8,0.33,14.66404664,14.66404664,8.969896907,1.539676966
FITB,212.93,19.64,193.28,58.94,28.4,141.79,0.29,14.27262001,14.27262001,10.84164969,2.075352113
MTB,208.1,29.03,179.08,35.23,26.24,150.76,0.26,13.86265653,13.86265653,7.168446435,1.342606707
HBAN,204.23,19.74,184.45,17.21,26.97,178.4,0.31,13.53563494,13.53563494,10.34599797,0.638116426
ALLY,191.84,13.9,177.93,29.3,25.81,488.98,0.33,12.49769238,12.49769238,13.80143885,1.135218907
KEY,187.17,18.18,168.99,22.51,24.44,231.99,0.31,12.11017509,12.11017509,10.29537954,0.921031097
RF,157.3,17.88,139.39,34.16,19.72,180.17,0.29,9.683756017,9.683756017,8.79753915,1.732251521
SYF,119.46,16.58,102.88,17.79,14.04,188.99,0.39,6.760720498,6.760720498,7.205066345,1.267094017
ZION,88.78,6.12,82.65,12.63,10.84,350.29,0.37,4.54862905,4.54862905,14.50653595,1.165129151
FHN,82.15,8.82,73.04,8.94,9.48,220.74,0.33,4.093820967,4.093820967,9.314058957,0.943037975
WAL,80.93,6.71,74.23,8.53,9.61,351.57,0.43,4.011161052,4.011161052,12.06110283,0.887617066
CMA,79.3,6.54,72.75,14.18,9.39,251.24,0.34,3.90124109,3.90124109,12.12538226,1.510117146
WBS,79.03,9.13,69.89,2.08,9.02,257.98,0.37,3.883091559,3.883091559,8.656078861,0.23059867
EWBC,75.98,7.72,68.25,5.48,8.76,174.46,0.35,3.679239613,3.679239613,9.841968912,0.625570776
WTFC,64.88,6.34,58.54,8.76,7.34,208.21,0.32,2.956731295,2.956731295,10.23343849,1.19346049
VLY,62.49,7.44,55.06,2.12,6.87,265.71,0.32,2.805466111,2.805466111,8.399193548,0.308588064
SNV,60.23,5.24,54.97,10.53,6.82,358.15,0.4,2.663946225,2.663946225,11.49427481,1.54398827
ONB,53.55,6.34,47.21,8.69,5.76,193.44,0.34,2.254833762,2.254833762,8.44637224,1.508680556
PNFP,52.59,6.43,46.16,8.92,5.62,149.64,0.37,2.197234208,2.197234208,8.178849145,1.587188612
CFR,52.52,3.9,48.62,25.26,5.91,176.67,0.29,2.193046548,2.193046548,13.46666667,4.274111675
COLB,51.58,5.12,46.46,2.08,5.64,207.89,0.36,2.136976359,2.136976359,10.07421875,0.368794326
UMBF,50.41,3.47,46.94,16.33,5.68,179.18,0.32,2.067619619,2.067619619,14.52737752,2.875
BOKF,49.69,5.55,44.13,14.29,5.32,166.42,0.27,2.025181538,2.025181538,8.953153153,2.686090226
FNB,48.62,6.3,42.32,5.39,5.09,223.5,0.31,1.962462642,1.962462642,7.717460317,1.058939096
ASB,43.02,4.61,38.42,5.57,4.53,284.74,0.32,1.641378961,1.641378961,9.331887202,1.229580574
SF,39.9,5.69,34.21,3,3.99,120.65,0.34,1.468100452,1.468100452,7.012302285,0.751879699
PB,39.57,7.44,32.13,12.95,3.74,139.41,0.26,1.450024733,1.450024733,5.318548387,3.462566845
SOFI,36.25,6.53,29.73,4.34,3.42,135.17,0.64,1.271009439,1.271009439,5.551301685,1.269005848
HWC,35.08,4.13,30.95,6.68,3.54,185.1,0.31,1.209206475,1.209206475,8.493946731,1.88700565
CBSH,32,3.31,28.66,12.51,3.23,110.49,0.24,1.049944748,1.049944748,9.667673716,3.873065015
TCBI,30.73,3.37,27.36,3.37,3.06,218.53,0.32,0.985806026,0.985806026,9.118694362,1.10130719
BOH,23.6,1.67,21.93,2.62,2.35,213.36,0.27,0.644590018,0.644590018,14.13173653,1.114893617
CATY,23.05,2.85,20.21,1.71,2.16,196.34,0.3,0.619754014,0.619754014,8.087719298,0.791666667
WSFS,20.81,2.59,18.23,1.17,1.91,165.5,0.29,0.52111458,0.52111458,8.034749035,0.612565445
IBOC,15.74,2.8,12.94,5.34,1.29,102.38,0.27,0.3148,0.3148,5.621428571,4.139534884
