Bank,LR,LCR
JPM,11.610424643230074,1.183623540988984
BAC,11.035052104479632,1.104218191810937
C,11.279721955896452,1.22021855245749
WFC,10.774006252791423,1.1125191307009488
GS,13.737459016393442,0.7632268203247774
MS,11.626351545306669,0.5054034945965054
USB,11.579378627517926,1.3740142335064436
PNC,10.291069459757441,0.6692326196776521
TFC,8.341394472361808,0.5798770116446421
COF,8.06416584402764,0.6767284749173494
SCHW,9.918147995039272,1.7878136200716845
BK,10.06921587608906,2.492610010077259
STT,13.945519147256219,2.6284430552842357
AXP,8.970918704560475,1.1369863013698631
CFG,8.969896907216496,1.5396769662921348
FITB,10.841649694501019,2.0753521126760566
MTB,7.1684464347227,1.342606707317073
HBAN,10.345997973657548,0.6381164256581388
ALLY,13.801438848920863,1.1352189074002326
KEY,10.295379537953794,0.9210310965630115
RF,8.797539149888145,1.7322515212981744
SYF,7.205066344993969,1.267094017094017
ZION,14.506535947712418,1.165129151291513
FHN,9.3140589569161,0.9430379746835442
WAL,12.061102831594637,0.8876170655567117
CMA,12.125382262996942,1.5101171458998934
WBS,8.656078860898138,0.2305986696230599
EWBC,9.8419689119171,0.6255707762557078
WTFC,10.233438485804417,1.1934604904632153
VLY,8.399193548387096,0.30858806404657935
SNV,11.494274809160304,1.5439882697947211
ONB,8.446372239747634,1.5086805555555556
PNFP,8.178849144634526,1.5871886120996441
CFR,13.466666666666669,4.274111675126904
COLB,10.07421875,0.3687943262411348
UMBF,14.52737752161383,2.875
BOKF,8.953153153153153,2.6860902255639094
FNB,7.717460317460318,1.0589390962671905
ASB,9.331887201735357,1.229580573951435
SF,7.0123022847100165,0.7518796992481203
PB,5.318548387096774,3.4625668449197855
SOFI,5.551301684532925,1.2690058479532162
HWC,8.493946731234866,1.887005649717514
CBSH,9.667673716012084,3.873065015479876
TCBI,9.118694362017804,1.1013071895424837
BOH,14.13173652694611,1.1148936170212767
CATY,8.087719298245615,0.7916666666666666
WSFS,8.034749034749035,0.612565445026178
IBOC,5.621428571428572,4.13953488372093
